ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
22052210	30.170164	-90.778898	3.016	1041.6	-142.0	1364.2	69.1	71.6	79.4	2022	5	22	0	19	6.33	-1.64	0	0	96	0	-9.0	0.024	1
22052211	30.175983	-90.781445	1.556	796.3	503.0	-96.5	31.9	28.9	27.2	2022	5	22	0	25	26.05	-2.55	0	0	154	0	-9.0	0.021	1
22052212	30.175753	-90.781462	1.59	794.4	477.6	-62.1	34.0	35.6	32.0	2022	5	22	0	34	23.64	-2.52	0	0	136	0	-9.0	0.022	1
22052214	30.16696	-90.804093	2.177	-1385.0	-497.3	524.4	36.8	39.4	48.3	2022	5	22	0	37	43.96	-2.47	0	0	120	0	-9.0	0.022	1
22052215	30.175413	-90.792074	1.309	-227.0	439.9	-343.5	41.0	49.4	56.8	2022	5	22	0	37	44.91	-3.01	0	0	45	0	-9.0	0.018	1
22052218	30.163715	-90.79012	0.57	-39.2	-857.1	-1081.9	63.0	46.0	42.4	2022	5	22	0	42	11.72	-3.13	0	0	24	0	-9.0	0.021	1
22052221	30.150291	-90.799504	1.469	-942.8	-2345.1	-183.6	53.2	40.1	41.1	2022	5	22	0	44	56.47	-1.76	0	0	49	0	-9.0	0.021	1
22052222	30.168471	-90.783732	2.008	576.4	-329.6	355.8	47.3	49.1	64.8	2022	5	22	0	49	0.92	-2.13	0	0	199	0	-9.0	0.026	1
22052223	30.167765	-90.801335	0.598	-1119.4	-407.9	-1053.5	42.1	28.8	28.4	2022	5	22	0	57	18.44	-3.1	0	0	30	0	-9.0	0.021	1
22052224	30.172262	-90.780632	1.853	874.8	90.4	200.6	46.6	50.4	51.5	2022	5	22	0	57	18.95	-2.35	0	0	51	0	-9.0	0.022	1
22052225	30.16673	-90.789103	1.495	58.4	-522.9	-157.0	33.7	64.0	32.7	2022	5	22	1	2	35.23	-2.9	0	0	57	0	-9.0	0.017	1
22052227	30.179366	-90.779484	1.547	985.0	878.1	-105.1	48.7	48.3	41.1	2022	5	22	1	11	31.65	-2.58	0	0	84	0	-9.0	0.022	1
22052228	30.162063	-90.792839	1.621	-301.1	-1040.1	-30.8	53.1	57.6	75.1	2022	5	22	1	11	32.31	-2.41	0	0	51	0	-9.0	0.015	1
22052301	30.161981	-90.79174	0.695	-195.0	-1049.1	-957.4	29.6	44.1	66.2	2022	5	23	2	53	59.57	-3.2	0	0	57	0	-9.0	0.024	1
22052304	30.163057	-90.785807	2.34	376.0	-929.9	688.1	52.9	67.8	55.5	2022	5	23	4	19	6.19	-1.69	0	0	61	0	-9.0	0.023	1
22052305	30.169505	-90.812077	5.618	-2154.1	-215.2	3966.2	83.5	111.7	64.9	2022	5	23	4	42	50.97	0.22	0	0	14	0	-9.0	0.021	1
22052307	30.166162	-90.780404	3.643	896.9	-585.6	1991.3	93.7	119.8	54.1	2022	5	23	4	48	32.51	-0.72	0	0	93	0	-9.0	0.031	1
22052309	30.166813	-90.787508	1.416	212.3	-513.6	-235.8	55.2	66.0	42.5	2022	5	23	4	51	41.99	-2.14	0	0	178	0	-9.0	0.03	1
22052311	30.164563	-90.8014	1.602	-1126.0	-763.1	-50.2	39.3	49.2	56.9	2022	5	23	23	50	48.0	-2.12	0	0	100	0	-9.0	0.023	1
22052502	30.152181	-90.763957	1.323	2481.2	-2135.6	-329.2	52.8	64.8	75.2	2022	5	25	18	21	59.6	-1.04	0	0	24	0	-9.0	0.026	1
22052503	30.172174	-90.781364	2.568	804.4	80.6	916.3	40.2	50.1	38.1	2022	5	25	18	25	26.12	-1.1	0	0	177	0	-9.0	0.022	1
22052601	30.172974	-90.78278	1.629	667.9	169.4	-22.9	50.6	55.6	68.2	2022	5	26	12	10	45.56	-2.95	0	0	90	0	-9.0	0.025	1
